UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,AVERAGE.ACCT.AGE,CREDIT.HISTORY.LENGTH,NO.OF_INQUIRIES
712520,47548,63896,79.82,78,17014,45,2079,01-01-80,Self employed,17-11-18,4,1646,1,1,1,0,0,0,783,B-Very Low Risk,2,1,0,583108,600000,600000,0,0,0,0,0,0,8398,0,0,0,1yrs 11mon,2yrs 2mon,0
753695,54659,68781,82.73,78,17014,45,2078,01-01-75,Salaried,27-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
708646,48518,63896,81.38,78,17014,45,2070,01-01-83,Salaried,17-11-18,4,1646,1,1,0,0,0,0,597,I-Medium Risk,7,1,0,464394,500000,500000,0,0,0,0,0,0,25165,0,0,0,1yrs 2mon,2yrs 6mon,0
730225,49763,70500,73.76,78,17502,51,2075,05-06-83,Salaried,21-11-18,4,1646,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
714877,42969,63896,71.99,78,17014,45,2099,01-01-86,Salaried,19-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
769166,45879,63896,76.69,78,17014,45,2070,01-01-66,Self employed,30-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
710254,48743,63896,81.38,78,17014,45,2071,22-09-88,Salaried,17-11-18,4,1646,1,1,0,0,0,0,710,D-Very Low Risk,3,3,0,225463,285500,285500,0,0,0,0,0,0,0,0,1,0,0yrs 6mon,0yrs 11mon,0
708812,51428,63896,86.08,78,17014,45,2079,01-01-77,Self employed,17-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
726172,57657,73400,82.11,78,17014,45,2095,01-01-90,Self employed,21-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
716959,47485,63338,78.54,78,17014,45,2071,31-12-72,Salaried,19-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
725935,51848,63896,86.86,78,17014,45,2070,01-01-77,Self employed,21-11-18,4,1646,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
736039,50170,63896,85.29,78,17014,45,2069,01-06-67,Salaried,22-11-18,4,1646,1,1,1,0,0,0,825,A-Very Low Risk,6,2,0,64546,70000,70000,0,0,0,0,0,0,6393,0,2,1,1yrs 2mon,1yrs 11mon,3
748400,54273,67445,86.0,78,17014,45,2071,01-01-71,Salaried,26-11-18,4,1646,1,1,0,0,0,0,401,K-High Risk,3,1,1,2558,20000,20000,0,0,0,0,0,0,3310,0,0,1,1yrs 7mon,1yrs 11mon,0
753652,49358,63896,80.85,78,17014,45,2073,11-10-83,Salaried,27-11-18,4,1646,1,1,1,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
695108,53303,69863,77.29,34,15196,86,1051,27-10-94,Self employed,15-11-18,6,1863,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
695320,41094,65687,63.48,34,15196,86,992,01-12-82,Self employed,15-11-18,6,1863,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0yrs 6mon,0yrs 6mon,0
662145,55713,66637,85.09,34,15196,86,992,01-02-95,Salaried,09-11-18,6,1863,1,1,0,0,0,0,708,D-Very Low Risk,4,3,0,72442,146550,146550,0,0,0,0,0,0,11003,0,1,0,0yrs 9mon,1yrs 8mon,1
688068,49349,67714,73.84,34,15196,86,1051,21-01-77,Self employed,14-11-18,6,1863,1,1,0,0,0,0,746,C-Very Low Risk,4,3,0,2039852,2205901,2205901,0,0,0,0,0,0,0,0,1,0,1yrs 6mon,3yrs 1mon,0
662099,50503,65687,77.95,34,15196,86,992,02-09-66,Self employed,09-11-18,6,1863,1,1,0,0,0,0,845,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,1412,0,0,0,1yrs 7mon,2yrs 6mon,0
723985,55259,66637,84.04,34,15196,86,995,17-12-75,Salaried,20-11-18,6,1863,1,1,1,0,0,0,719,D-Very Low Risk,7,2,0,191699,226700,226700,0,0,0,0,0,0,12020,0,1,0,0yrs 9mon,1yrs 7mon,1
757491,50582,65030,78.43,34,23069,51,1051,18-02-85,Salaried,28-11-18,6,1863,1,1,0,0,0,0,825,A-Very Low Risk,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1yrs 0mon,1yrs 2mon,0
688610,50803,65687,78.4,34,15196,86,992,25-04-79,Salaried,14-11-18,6,1863,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
733285,46349,65687,71.55,34,15196,86,1051,30-04-95,Salaried,22-11-18,6,1863,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
722392,49349,69863,71.57,34,15196,86,978,28-05-67,Self employed,20-11-18,6,1863,1,1,0,0,0,0,743,C-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,3550,0,0,0,0yrs 7mon,0yrs 7mon,0
689941,49349,67714,73.84,34,15196,86,992,17-01-69,Self employed,14-11-18,6,1863,1,1,0,0,0,0,738,C-Very Low Risk,2,2,0,23693,54990,54990,0,0,0,0,0,0,5499,0,1,0,0yrs 3mon,0yrs 6mon,0
662086,45549,69863,66.13,34,15196,86,1051,25-07-73,Self employed,09-11-18,6,1863,1,1,0,0,0,0,758,C-Very Low Risk,3,1,0,277320,382208,382208,0,0,0,0,0,0,0,0,0,0,1yrs 4mon,1yrs 7mon,0
662336,39439,65687,60.89,34,15196,86,1051,21-08-96,Salaried,09-11-18,6,1863,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
662373,49349,95422,52.4,34,20700,48,1045,01-06-59,Self employed,09-11-18,6,1863,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
662111,34484,67714,51.69,34,15196,86,1075,23-07-90,Self employed,09-11-18,6,1863,1,1,0,0,0,0,830,A-Very Low Risk,3,1,0,0,19000,235,0,0,0,0,0,0,0,0,0,0,1yrs 0mon,1yrs 1mon,0
711459,42394,65687,65.46,34,15196,86,1043,01-07-86,Self employed,17-11-18,6,1863,1,1,0,0,0,0,734,D-Very Low Risk,8,3,0,993247,1205500,1128128,0,0,0,0,0,0,0,0,1,0,1yrs 1mon,3yrs 1mon,0
662098,40394,62383,65.72,34,15196,86,1051,01-01-82,Salaried,09-11-18,6,1863,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
729627,45349,69863,65.84,34,15196,86,1051,01-06-72,Salaried,21-11-18,6,1863,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
729023,36139,65687,55.87,34,15196,86,1051,29-06-78,Self employed,21-11-18,6,1863,1,1,0,0,0,0,300,M-Very High Risk,10,1,1,4659026,3610000,3610000,0,0,0,0,0,0,0,0,0,1,2yrs 5mon,4yrs 5mon,0
698148,56259,67139,84.9,34,15196,86,983,29-09-90,Salaried,15-11-18,6,1863,1,0,1,0,0,0,810,A-Very Low Risk,1,1,0,13216,105000,13216,0,0,0,0,0,0,0,0,1,0,0yrs 4mon,0yrs 4mon,0
662059,57259,68414,84.78,34,15196,86,992,01-01-70,Self employed,09-11-18,6,1863,1,1,0,0,0,0,758,C-Very Low Risk,2,1,0,84535,300000,300000,0,0,0,0,0,0,0,0,0,0,1yrs 4mon,2yrs 5mon,0
662318,41094,65687,63.48,34,15196,86,1051,06-12-94,Salaried,09-11-18,6,1863,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
662400,46349,65687,71.55,34,15196,86,1051,05-08-66,Salaried,09-11-18,6,1863,1,1,0,0,0,0,753,C-Very Low Risk,7,5,0,730468,1025682,1025682,0,0,0,0,0,0,0,0,3,0,0yrs 10mon,2yrs 0mon,0
745881,56959,65692,87.83,34,15196,86,1051,25-02-75,Self employed,26-11-18,6,1863,1,1,1,0,0,0,785,B-Very Low Risk,1,1,0,29000,49000,49000,0,0,0,0,0,0,0,0,0,0,1yrs 6mon,1yrs 6mon,0
707400,45349,65692,70.02,34,15196,86,1051,03-07-80,Self employed,17-11-18,6,1863,1,1,0,0,0,0,725,D-Very Low Risk,15,5,0,3104793,3256013,3256013,0,0,0,0,0,0,0,0,1,0,0yrs 10mon,2yrs 5mon,0
665203,54303,65687,83.73,34,15196,86,1051,27-10-79,Self employed,10-11-18,6,1863,1,1,0,0,0,0,681,E-Low Risk,2,1,0,609,13000,13000,0,0,0,0,0,0,1267,0,0,0,0yrs 11mon,1yrs 4mon,1
662265,58259,66637,88.54,34,15196,86,1051,01-01-68,Salaried,09-11-18,6,1863,1,1,0,0,0,0,754,C-Very Low Risk,3,0,0,0,0,0,0,0,0,0,0,0,5790,0,0,0,1yrs 1mon,2yrs 3mon,0
724712,44394,69863,64.41,34,15196,86,1066,01-01-91,Salaried,20-11-18,6,1863,1,1,0,0,0,0,749,C-Very Low Risk,2,2,0,133572,313302,313302,0,0,0,0,0,0,1100,0,1,0,1yrs 5mon,2yrs 9mon,1
662430,49349,67714,73.84,34,15196,86,1067,25-12-68,Self employed,09-11-18,6,1863,1,1,0,0,0,0,665,F-Low Risk,2,1,0,21078,47900,47900,0,0,0,0,0,0,0,0,0,0,1yrs 7mon,2yrs 7mon,0
662431,47349,65687,73.07,34,15196,86,992,06-04-57,Self employed,09-11-18,6,1863,1,1,0,0,0,0,593,I-Medium Risk,1,1,0,0,55000,55000,0,0,0,0,0,0,0,0,0,0,2yrs 7mon,2yrs 7mon,0
718315,53303,66636,82.54,130,22637,86,1067,21-03-80,Self employed,19-11-18,6,1570,1,1,0,0,0,0,688,E-Low Risk,3,1,0,0,111,111,0,0,0,0,0,0,0,0,0,0,2yrs 9mon,4yrs 8mon,0
733477,52553,68662,78.65,130,22637,86,1044,14-01-62,Self employed,22-11-18,6,1570,1,1,0,0,0,0,300,M-Very High Risk,6,1,1,5819,53900,53900,1,0,0,0,0,0,27,0,0,0,1yrs 2mon,2yrs 10mon,0
727178,48599,65782,76.01,130,15118,45,1037,01-06-75,Self employed,21-11-18,6,1570,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2yrs 1mon,2yrs 1mon,0
709205,48599,66636,75.03,130,15196,86,1043,16-06-79,Self employed,17-11-18,6,1570,1,1,0,0,0,0,762,B-Very Low Risk,8,3,0,2871359,3280000,3255000,0,0,0,0,0,0,7756,0,0,0,1yrs 4mon,2yrs 8mon,0
760975,57763,66636,89.29,130,15271,86,1045,29-12-57,Self employed,29-11-18,6,1570,1,1,1,0,0,0,749,C-Very Low Risk,3,3,0,31910,124390,124390,0,0,0,0,0,0,5700,0,1,0,1yrs 9mon,4yrs 7mon,0
728884,42502,65782,68.41,130,15118,45,1047,22-07-83,Salaried,21-11-18,6,1570,1,0,0,1,0,0,786,B-Very Low Risk,2,2,0,797642,1100000,1098228,0,0,0,0,0,0,0,0,0,0,1yrs 7mon,1yrs 7mon,0
697644,50328,66636,78.04,130,22637,86,1047,01-01-92,Salaried,15-11-18,6,1570,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
766710,46599,60812,78.93,130,15118,45,995,07-05-84,Salaried,30-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
743227,32534,59734,56.58,130,20700,48,1050,25-08-86,Salaried,24-11-18,6,1570,1,1,0,0,0,0,783,B-Very Low Risk,3,1,0,3110,18670,18670,0,0,0,0,0,0,2105,0,0,0,1yrs 8mon,3yrs 11mon,0
728888,49328,65782,77.53,130,15118,45,1043,15-11-92,Salaried,21-11-18,6,1570,1,0,0,1,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2030,0,0,0,0yrs 7mon,0yrs 7mon,1
760702,20824,66636,33.02,130,18006,86,1060,01-06-63,Self employed,29-11-18,6,1570,1,0,0,1,0,0,707,D-Very Low Risk,5,2,0,64380,77779,77779,0,0,0,0,0,0,7401,0,3,0,0yrs 3mon,0yrs 7mon,2
677241,59013,66736,89.91,130,22637,86,1049,28-07-88,Salaried,12-11-18,6,1570,1,1,0,0,0,0,650,G-Low Risk,2,2,1,13050,442200,442200,0,0,0,0,0,0,0,0,0,1,0yrs 7mon,0yrs 9mon,0
728922,38439,70979,56.35,130,15118,45,995,05-03-95,Salaried,21-11-18,6,1570,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
728655,32734,89078,38.17,130,20700,48,1042,01-06-91,Salaried,21-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
751372,61897,70812,89.96,130,21156,86,1043,08-03-95,Self employed,27-11-18,6,1570,1,1,0,0,0,0,717,D-Very Low Risk,2,1,0,10525,52000,52000,0,0,0,0,0,0,1149,0,0,0,1yrs 4mon,2yrs 1mon,0
741935,56509,66636,87.04,130,22637,86,1047,01-06-62,Self employed,24-11-18,6,1570,1,1,0,0,0,0,753,C-Very Low Risk,9,3,0,2295,94690,94690,0,0,0,0,0,0,0,0,0,0,1yrs 3mon,3yrs 2mon,0
728307,50053,67782,75.98,130,15118,45,1042,01-05-74,Salaried,21-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
717735,64132,92099,71.66,130,20700,48,1061,28-04-97,Salaried,19-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
702566,42644,64373,68.35,130,20520,45,1043,15-04-94,Salaried,16-11-18,6,1570,1,1,0,0,0,0,724,D-Very Low Risk,4,2,0,3217,77200,77200,0,0,0,0,0,0,1832,0,0,0,1yrs 1mon,1yrs 11mon,0
757194,59197,70812,86.14,130,22637,86,990,09-10-73,Salaried,28-11-18,6,1570,1,0,0,1,0,0,738,C-Very Low Risk,2,1,0,991255,1246000,1246000,0,0,0,0,0,0,11957,0,0,0,1yrs 5mon,2yrs 4mon,0
727264,72967,103135,72.62,130,18312,51,1048,06-08-78,Self employed,21-11-18,6,1570,1,0,0,1,0,0,16,Not Scored: No Activity seen on the customer (Inactive),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3yrs 3mon,3yrs 3mon,0
767201,49353,65782,77.22,130,15118,45,1063,08-10-95,Self employed,30-11-18,6,1570,1,1,1,0,0,0,825,A-Very Low Risk,2,0,0,0,0,0,0,0,0,0,0,0,2797,0,0,0,0yrs 9mon,1yrs 0mon,0
756322,55509,73381,77.68,130,22637,86,1043,27-07-93,Salaried,28-11-18,6,1570,1,1,1,0,0,0,766,B-Very Low Risk,9,4,0,4411,81379,21968,0,0,0,0,0,0,0,0,3,0,0yrs 8mon,2yrs 0mon,0
728833,45599,64383,73.0,130,15118,45,1047,01-03-80,Self employed,21-11-18,6,1570,1,0,0,1,0,0,708,D-Very Low Risk,15,3,0,12575,48265,48265,0,0,0,0,0,0,0,0,0,0,0yrs 9mon,1yrs 2mon,0
710833,58509,66736,89.91,130,22637,86,1042,07-07-97,Salaried,17-11-18,6,1570,1,0,0,1,0,0,599,I-Medium Risk,2,1,1,4240,8271,8271,0,0,0,0,0,0,1462,0,2,1,0yrs 2mon,0yrs 4mon,0
742470,45849,64373,73.79,130,20520,45,1066,15-02-71,Salaried,24-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
697634,54178,65782,85.0,130,15118,45,1042,01-06-77,Self employed,15-11-18,6,1570,1,0,0,1,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
702435,57509,65782,89.69,130,15118,45,1043,01-06-89,Self employed,16-11-18,6,1570,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1803,0,0,0,0yrs 7mon,0yrs 7mon,0
761300,52328,64680,83.49,130,23775,51,1044,02-03-86,Salaried,29-11-18,6,1570,1,0,1,1,0,0,728,D-Very Low Risk,5,3,1,15819,60961,60961,0,0,0,0,0,0,3722,0,1,0,0yrs 9mon,1yrs 9mon,1
734035,58509,66827,89.78,130,22637,86,1043,22-05-87,Salaried,22-11-18,6,1570,1,1,0,0,0,0,441,K-High Risk,15,8,1,26703,157996,138993,0,0,0,0,0,0,10490,0,0,1,1yrs 8mon,5yrs 7mon,0
728916,54424,65782,85.0,130,15118,45,1048,01-06-59,Self employed,21-11-18,6,1570,1,0,0,1,0,0,627,H-Medium Risk,2,0,0,0,0,0,0,0,0,0,0,0,3638,0,0,0,5yrs 1mon,7yrs 1mon,0
728234,56509,64473,89.96,130,15118,45,975,21-04-84,Self employed,21-11-18,6,1570,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,0yrs 6mon,0yrs 6mon,0
747459,58263,66841,89.77,130,21156,86,1063,10-08-85,Salaried,26-11-18,6,1570,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,9160,10992,10992,0,0,0,0,0,0,3470,0,1,0,0yrs 3mon,0yrs 6mon,0
742464,44349,64373,71.46,130,20520,45,1061,06-09-96,Salaried,24-11-18,6,1570,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
728178,54178,65782,85.0,130,15118,45,1086,22-08-94,Salaried,21-11-18,6,1570,1,0,0,0,1,0,588,I-Medium Risk,2,1,0,12620,20990,20990,0,0,0,0,0,0,1399,0,1,0,0yrs 6mon,0yrs 9mon,1
756405,55263,68662,83.02,130,22637,86,1050,01-01-67,Self employed,28-11-18,6,1570,1,0,0,1,0,0,763,B-Very Low Risk,1,1,0,2129,10649,10649,0,0,0,0,0,0,1065,0,0,0,0yrs 8mon,0yrs 8mon,0
729226,82836,115574,73.46,130,20700,48,1043,04-10-95,Self employed,21-11-18,6,1570,1,0,0,1,0,0,738,C-Very Low Risk,7,5,0,163588,276630,252515,0,0,0,0,0,0,9429,0,3,0,0yrs 10mon,2yrs 0mon,1
729812,57263,65564,89.99,130,15118,45,1066,12-07-82,Salaried,21-11-18,6,1570,1,1,0,0,0,0,738,C-Very Low Risk,2,1,0,1888,5664,5664,0,0,0,0,0,0,2646,0,1,0,0yrs 5mon,0yrs 6mon,2
761338,47099,65782,73.73,130,20520,45,1050,15-11-97,Self employed,29-11-18,6,1570,1,0,1,1,0,0,738,C-Very Low Risk,2,1,0,90755,93000,93000,0,0,0,0,0,0,7193,0,1,0,0yrs 3mon,0yrs 6mon,1
710494,60463,68932,89.94,130,22637,86,1043,05-07-95,Salaried,17-11-18,6,1570,1,1,0,0,0,0,825,A-Very Low Risk,3,0,0,0,0,0,0,0,0,0,0,0,5177,0,0,0,0yrs 6mon,0yrs 7mon,0
764460,42644,64373,68.35,130,20520,45,1045,07-07-95,Salaried,30-11-18,6,1570,1,0,0,1,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,2332,0,0,0,0yrs 6mon,0yrs 6mon,0
710622,34989,52365,69.32,130,20700,48,1063,07-02-72,Self employed,17-11-18,6,1570,1,1,0,0,0,0,575,I-Medium Risk,1,1,0,167120,150000,150000,0,0,0,0,0,0,3222,0,0,0,1yrs 2mon,1yrs 2mon,0
756779,47349,65610,74.68,34,18680,45,1019,02-06-97,Self employed,28-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
712028,50303,65610,79.26,34,18680,45,1019,01-01-73,Self employed,17-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
756503,32484,60627,56.08,34,18680,45,1030,01-01-85,Salaried,28-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
767068,41394,60627,70.93,34,18680,45,1019,25-02-78,Self employed,30-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
756908,52303,68330,79.03,34,18680,45,1000,01-06-87,Self employed,28-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
756887,46349,64150,74.82,34,18680,45,1019,01-01-86,Self employed,28-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
766830,46349,60954,78.75,34,18680,45,1019,05-02-93,Salaried,30-11-18,6,1835,1,1,0,0,0,0,825,A-Very Low Risk,1,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0yrs 6mon,0yrs 6mon,0
750180,47349,65610,74.68,34,18680,45,1027,05-05-80,Salaried,27-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
654130,46349,61740,77.75,34,18680,45,1019,20-07-92,Salaried,03-11-18,6,1835,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0yrs 0mon,0yrs 0mon,0
